Dataset,Scale,Metric,n,rho,p,q_BH,sig
Chile,1,RMSSD,77,-0.3471791366528208,0.001978198825164834,0.005346483311256309,**
Chile,1,SDNN,77,-0.5531573689468426,1.8176293381404496e-07,1.7040275045066715e-06,***
Chile,1,pNN50,77,0.05402492244597507,0.6407475843791615,0.6968185663410376,
Chile,1,SD1,77,-0.3471791366528208,0.001978198825164834,0.005346483311256309,**
Chile,1,SD2,77,-0.5713234134286764,5.753623016673167e-08,6.164596089292679e-07,***
Chile,1,SD1SD2,77,0.4188180240811819,0.00015013769368032355,0.0006683634979862247,***
Chile,1,VLF_power,77,-0.023266207476733785,0.8408174423649186,0.8609052310903603,
Chile,1,LF_power,77,0.03354540196645459,0.772101939492862,0.801489902587746,
Chile,1,HF_power,77,0.1342341868657658,0.2444602821260637,0.3819691908219745,
Chile,1,Total_power,77,0.029312792470687205,0.8002172805672553,0.8278109798971607,
Chile,1,LF_HF,77,-0.10463220989536777,0.3651393740373241,0.5020184323086226,
Chile,1,LF_norm,77,0.11998527788001472,0.29861588365362035,0.4396116597611262,
Chile,1,HF_norm,77,0.08620327041379672,0.4560013079926748,0.572386579070303,
Chile,1,DFA_alpha1,77,-0.39363268310636723,0.0003974906460238696,0.001268587168161286,**
Chile,1,DFA_alpha2,77,0.02216204847783795,0.8482797409659384,0.8655915724142228,
Chile,1,SDANN,0,,,,
Chile,2,RMSSD,77,-0.4071454860928545,0.00023801980435830589,0.0008207579460631238,***
Chile,2,SDNN,77,-0.6500604658499395,1.5797582866876418e-10,2.3696374300314628e-08,***
Chile,2,pNN50,77,0.0011041589988958409,0.9923958922504417,0.9923958922504416,
Chile,2,SD1,77,-0.4071454860928545,0.00023801980435830589,0.0008207579460631238,***
Chile,2,SD2,77,-0.677164940322835,1.3620923577437961e-11,4.086277073231388e-09,***
Chile,2,SD1SD2,77,0.5373836689626164,4.675744314234003e-07,3.791144038568111e-06,***
Chile,2,VLF_power,77,-0.09025185340974815,0.43503885627581373,0.5598108310568731,
Chile,2,LF_power,77,0.051948051948051945,0.6536556296999776,0.7071549552595133,
Chile,2,HF_power,77,0.19370103580629894,0.09142165925098804,0.1945141686191235,
Chile,2,Total_power,77,0.06193806193806194,0.5925608207918971,0.6633143516327206,
Chile,2,LF_HF,77,-0.16575529733424468,0.14967129843961574,0.2749889408363595,
Chile,2,LF_norm,77,0.08530942741469057,0.4607032459623627,0.5748714916127501,
Chile,2,HF_norm,77,0.16483516483516483,0.15197665514774736,0.2761141402483374,
Chile,2,DFA_alpha1,77,-0.5097796939902203,2.1861881267914374e-06,1.5996498488717834e-05,***
Chile,2,DFA_alpha2,77,-0.05084389294915611,0.6605600125906109,0.7102795834307645,
Chile,2,SDANN,0,,,,
Chile,3,RMSSD,77,-0.37089226562910765,0.0008981926615440665,0.002590940369838653,**
Chile,3,SDNN,77,-0.6087333718912665,4.26877353182457e-09,9.147371853909794e-08,***
Chile,3,pNN50,77,0.013880855986119142,0.9046277262876501,0.9199603996145593,
Chile,3,SD1,77,-0.37089226562910765,0.0008981926615440665,0.002590940369838653,**
Chile,3,SD2,77,-0.6436984068563015,2.7110099846761755e-10,2.7110099846761752e-08,***
Chile,3,SD1SD2,77,0.5389084599610915,4.2765489366565684e-07,3.56379078054714e-06,***
Chile,3,VLF_power,77,-0.0916977759083022,0.4276865200534502,0.55304291386222,
Chile,3,LF_power,77,0.08993637941006363,0.4366524482243611,0.5598108310568731,
Chile,3,HF_power,77,0.21846574478153424,0.05628794558831602,0.13728767216662444,
Chile,3,Total_power,77,0.10300226089699771,0.372697575752701,0.5022124007591899,
Chile,3,LF_HF,77,-0.18620852831379145,0.10491835913792004,0.21707246718190354,
Chile,3,LF_norm,77,0.08078763341921236,0.48489185340844054,0.5854100495613869,
Chile,3,HF_norm,77,0.19722382880277614,0.08556777992995698,0.1833595284213364,
Chile,3,DFA_alpha1,77,-0.4890635680109364,6.385299242386792e-06,4.256866161591194e-05,***
Chile,3,DFA_alpha2,77,-0.11990640938009357,0.2989359286375658,0.4396116597611262,
Chile,3,SDANN,0,,,,
Chile,4,RMSSD,77,-0.36857878963142116,0.000972699381571888,0.0027504329489822527,**
Chile,4,SDNN,77,-0.5433776749566224,3.2838842052193337e-07,2.8147578901880003e-06,***
Chile,4,pNN50,77,0.0014722119985277878,0.9898613066355479,0.9923958922504416,
Chile,4,SD1,77,-0.36857878963142116,0.000972699381571888,0.0027504329489822527,**
Chile,4,SD2,77,-0.5719017824280981,5.5403676024617425e-08,6.155964002735269e-07,***
Chile,4,SD1SD2,77,0.45938272254061724,2.6391725757111752e-05,0.00016158199443129645,***
Chile,4,VLF_power,77,-0.08699195541300804,0.4518746000987043,0.571320838860121,
Chile,4,LF_power,77,0.1447762763552237,0.20902243311453808,0.34644602173680344,
