Dataset,Subset,Metric,n,rho,p,q_BH,sig,CI_lo,CI_hi
Chile,All,SDNN,71,-0.1095908786049631,0.36293716472806425,0.8719295047492004,,-0.3401945681824682,0.1310197986289968
Chile,All,RMSSD,71,-0.027129443326626423,0.8223056600965553,0.8810417786748806,,-0.26240654974349015,0.20403543394636106
Chile,All,pNN50,71,0.21790744466800802,0.06792041275511969,0.8719295047492004,,-0.005237102296490352,0.41058131883655674
Chile,All,SDANN,0,,,,,,
Chile,All,SD1,71,-0.027129443326626423,0.8223056600965553,0.8810417786748806,,-0.2777682674932831,0.20797590441059166
Chile,All,SD2,71,-0.11076458752515088,0.35778891168868754,0.8719295047492004,,-0.3315077782998094,0.13652436299133539
Chile,All,SD1SD2,71,0.10103957075788061,0.4017997820363116,0.8719295047492004,,-0.12325380228832085,0.3072815273646654
Chile,All,VLF_power,71,-0.07702883970489605,0.5231577028495202,0.8719295047492004,,-0.3216687053924468,0.19342857292102728
Chile,All,LF_power,71,0.012608987256874577,0.9168809017468007,0.9168809017468007,,-0.238158018428586,0.2725797879098188
Chile,All,HF_power,71,0.08440643863179073,0.4840225389766287,0.8719295047492004,,-0.14079644210374367,0.3056901203920103
Chile,All,Total_power,71,-0.05285043594902749,0.6615839787291637,0.8810417786748806,,-0.28146491281720215,0.18241804514046192
Chile,All,LF_HF,71,-0.034004024144869215,0.7783126412787917,0.8810417786748806,,-0.2659163855698503,0.21562204149392403
Chile,All,LF_norm,71,0.1761234071093226,0.14177520987978035,0.8719295047492004,,-0.05041298562362385,0.39063179674000187
Chile,All,HF_norm,71,0.0959087860496311,0.42624489071788074,0.8719295047492004,,-0.1415072775547146,0.31299227051929146
Chile,All,DFA_alpha1,71,-0.07964453386988599,0.5091031532454884,0.8719295047492004,,-0.3198160061116437,0.15485797461866843
Chile,All,DFA_alpha2,71,0.028437290409121393,0.8138895521522673,0.8810417786748806,,-0.18730082088484365,0.2610681531137623
Chile,PD,SDNN,28,-0.19704433497536944,0.3148867290910068,0.4826841062093979,,-0.5580673826723255,0.22079068447468606
Chile,PD,RMSSD,28,0.0005473453749315818,0.9977944709271016,0.9977944709271017,,-0.3762868153041564,0.39873150249474354
Chile,PD,pNN50,28,0.2983032293377121,0.12310947239451034,0.41297179409506646,,0.01263769336810815,0.5622732479156124
Chile,PD,SDANN,0,,,,,,
Chile,PD,SD1,28,0.0005473453749315818,0.9977944709271016,0.9977944709271017,,-0.3813683611830235,0.388787170276532
Chile,PD,SD2,28,-0.19430760810071154,0.3217894041395986,0.4826841062093979,,-0.5820459048382128,0.2030044518330104
Chile,PD,SD1SD2,28,0.3262178434592227,0.0902298257191077,0.41297179409506646,,0.006324016358854409,0.6238760744455928
Chile,PD,VLF_power,28,0.01477832512315271,0.9405026282514246,0.9977944709271017,,-0.43548949010039884,0.42424189672787016
Chile,PD,LF_power,28,0.24083196496989598,0.21700501995188598,0.41297179409506646,,-0.1558370044052864,0.6256585709277086
Chile,PD,HF_power,28,0.3694581280788177,0.052997114223550454,0.41297179409506646,,0.005207667463384672,0.6789373574297953
Chile,PD,Total_power,28,0.23973727422003283,0.21916580128113317,0.41297179409506646,,-0.1742790507860698,0.5797314281771222
Chile,PD,LF_HF,28,-0.10618500273672687,0.5907252351691593,0.8055344115943082,,-0.4850880185499598,0.24963166529418893
Chile,PD,LF_norm,28,0.270935960591133,0.1631550211322279,0.41297179409506646,,-0.11551893251893795,0.5809041964453681
Chile,PD,HF_norm,28,0.23918992884510124,0.22025162351736877,0.41297179409506646,,-0.12897735678820646,0.5497265101595051
Chile,PD,DFA_alpha1,28,-0.2835249042145594,0.14372234916133209,0.41297179409506646,,-0.6483075732161254,0.07289951004501234
Chile,PD,DFA_alpha2,28,-0.04324028461959496,0.8270580890892374,0.9977944709271017,,-0.37673151619856343,0.27092158150660756
Chile,HC,SDNN,43,0.024463908184838415,0.8762563811872897,0.9341254813414903,,-0.2956696829007431,0.31974440782466407
Chile,HC,RMSSD,43,-0.012987012987012988,0.9341254813414903,0.9341254813414903,,-0.3106083131965135,0.2788377298112025
Chile,HC,pNN50,43,0.17200241618846268,0.2700688109555762,0.914147787344664,,-0.1023561632124931,0.4232319058518419
Chile,HC,SDANN,0,,,,,,
Chile,HC,SD1,43,-0.012987012987012988,0.9341254813414903,0.9341254813414903,,-0.3149405528256773,0.27547785595567736
Chile,HC,SD2,43,0.05572334642102084,0.7226562393074326,0.9341254813414903,,-0.25719831864125225,0.3510338991623941
Chile,HC,SD1SD2,43,-0.12443370582905465,0.42660230076084316,0.914147787344664,,-0.3963578935829662,0.1531329651963416
Chile,HC,VLF_power,43,-0.2428269405013591,0.11665073565548946,0.8748805174161709,,-0.5119413896344851,0.05908619109161662
Chile,HC,LF_power,43,-0.19858048927816369,0.20175559810575122,0.914147787344664,,-0.4841333732204738,0.12133910819943516
Chile,HC,HF_power,43,-0.14331017819389913,0.35924711658910025,0.914147787344664,,-0.3934461231194197,0.1428218452402925
Chile,HC,Total_power,43,-0.2641196013289036,0.08699774076917717,0.8748805174161709,,-0.5300145489780146,0.05882948996327688
Chile,HC,LF_HF,43,-0.015554213228631831,0.9211413050125886,0.9341254813414903,,-0.28439785755504454,0.26655758320591055
Chile,HC,LF_norm,43,0.07399577167019027,0.6372323049694859,0.9341254813414903,,-0.20648831291467834,0.4072951450969605
Chile,HC,HF_norm,43,0.03926306251887647,0.8026069153036448,0.9341254813414903,,-0.22622391436546452,0.33033981805177215
Chile,HC,DFA_alpha1,43,0.1253397765025672,0.42321603803991126,0.914147787344664,,-0.17958964304343966,0.396545058699051
Chile,HC,DFA_alpha2,43,0.07943219571126549,0.6126289135064318,0.9341254813414903,,-0.21585052199538168,0.3481430886816519
Spain,All,SDNN,58,0.043280322372266145,0.7470064817459432,0.9968915806386953,,-0.21706265949075618,0.318222390557906
Spain,All,RMSSD,58,0.0312836445292073,0.8156684041076864,0.9968915806386953,,-0.2795834092738385,0.2869688055858199
Spain,All,pNN50,58,0.3145635399230379,0.016177326379374652,0.24265989569061977,,0.04632519348967543,0.5344806441996809
Spain,All,SDANN,0,,,,,,
Spain,All,SD1,58,0.0312836445292073,0.8156684041076864,0.9968915806386953,,-0.25538711983312057,0.2986586618186505
Spain,All,SD2,58,0.06290565689501369,0.6389900015893082,0.9968915806386953,,-0.19202868322738673,0.3216613378576264
Spain,All,SD1SD2,58,0.010797010058752962,0.9358873996261659,0.9968915806386953,,-0.24763550347252067,0.3030196415136978
Spain,All,VLF_power,58,-0.033990587222000074,0.8000343815734422,0.9968915806386953,,-0.3134529209847844,0.21978081295139099
Spain,All,LF_power,58,0.06671998523485805,0.6187532257205162,0.9968915806386953,,-0.19704790473480874,0.3462467331363194
Spain,All,HF_power,58,-0.005075517548986435,0.9698369665758604,0.9968915806386953,,-0.2935411507477801,0.29771663484633865
Spain,All,Total_power,58,-0.03983512258143899,0.7665512469736057,0.9968915806386953,,-0.3225283120823356,0.25410700872099573
Spain,All,LF_HF,58,-0.0005229321111076933,0.9968915806386953,0.9968915806386953,,-0.2568264655879339,0.26084097876561024
Spain,All,LF_norm,58,0.22353809714232986,0.09164672594548336,0.6873504445911252,,-0.03485299042139891,0.4774321140768121
Spain,All,HF_norm,58,0.055277000215324994,0.680245383724693,0.9968915806386953,,-0.23428140041322323,0.32606603590062655
Spain,All,DFA_alpha1,58,-0.04487987941800733,0.7379848206260051,0.9968915806386953,,-0.29551392507986857,0.24309538212601137
Spain,All,DFA_alpha2,58,0.047771386385308694,0.7217659485232615,0.9968915806386953,,-0.2593306296687226,0.33754233113724524
Spain,PD,SDNN,31,-0.2588709677419355,0.15966303012682567,0.5534829463054931,,-0.5638086473648084,0.09385514868734769
Spain,PD,RMSSD,31,-0.26290322580645165,0.15303055647914734,0.5534829463054931,,-0.6201641357605836,0.10271824133534345
Spain,PD,pNN50,31,0.01654894888962983,0.9295904949574849,0.982824379813206,,-0.34100026393618815,0.37888005541750924
Spain,PD,SDANN,0,,,,,,
Spain,PD,SD1,31,-0.26290322580645165,0.15303055647914734,0.5534829463054931,,-0.6389306976090637,0.1275864329756197
Spain,PD,SD2,31,-0.20927419354838714,0.2585294644300142,0.6463236610750355,,-0.5266068830842213,0.12673095000937068
