Dataset,Metric,n_GroupCtrl,rho_Complexity_Group_ctrlM,p_Complexity_Group_ctrlM,CI95_lo_ctrlM,CI95_hi_ctrlM,n_AgeSexCtrl,rho_Complexity_M_ctrlAgeSex,p_Complexity_M_ctrlAgeSex,CI95_lo_ctrlAgeSex,CI95_hi_ctrlAgeSex,q_BH_ctrlM,q_BH_ctrlAgeSex
Pooled,SDANN,37,-0.643794077143414,2.274521860647592e-05,-0.8,-0.4,37,0.3235560683551762,0.05795706076248117,-0.01,0.59,0.00011372609303237959,0.2028497126686841
Pooled,SD1,166,-0.2920866794592132,0.00014080399551850327,-0.43,-0.15,37,0.28125136815551693,0.1016919350790723,-0.06,0.56,0.0004271483664451765,0.23728118185116873
Pooled,SD2,166,-0.3094495025279463,5.244419059537808e-05,-0.44,-0.16,37,0.6161836144650649,8.117107739449547e-05,0.36,0.79,0.00022476081683733463,0.0011363950835229367
Pooled,SD1SD2,129,-0.28844930353145093,0.0009603527342954916,-0.44,-0.12,0,,,,,0.002057898716347482,
Pooled,VLF_power,166,-0.26314212660627695,0.0006382657731978704,-0.4,-0.11,37,0.20722653775403688,0.2322965356204773,-0.14,0.51,0.0015075404339531394,0.41431110010172584
Pooled,LF_power,166,-0.26267134233042483,0.0006532675213796938,-0.4,-0.11,37,0.035481667256529036,0.8396411893565534,-0.3,0.36,0.0015075404339531394,0.8960178817626534
Pooled,HF_power,166,-0.2808582383142501,0.0002580937204775587,-0.42,-0.13,37,-0.07831899926301322,0.654729104531951,-0.4,0.26,0.0007374106299358819,0.8960178817626534
Pooled,Total_power,166,-0.27331843224024466,0.0003822772334001736,-0.41,-0.13,37,0.022920757993817056,0.8960178817626534,-0.31,0.35,0.000955693083500434,0.8960178817626534
Pooled,LF_HF,166,-0.29188422775544076,0.00014238278881505882,-0.43,-0.15,37,0.029936470889684926,0.8644497621452908,-0.31,0.36,0.0004271483664451765,0.8960178817626534
Pooled,LF_norm,166,-0.2936034041115575,0.00012948540766520716,-0.43,-0.15,37,0.20530617684428995,0.23674920005812905,-0.14,0.5,0.0004271483664451765,0.41431110010172584
Pooled,HF_norm,166,-0.291894985551949,0.00014229848171710936,-0.43,-0.15,37,-0.04245853582201859,0.8086448049615063,-0.37,0.29,0.0004271483664451765,0.8960178817626534
Pooled,DFA_alpha1,166,-0.2788939559194268,0.0002862142996145828,-0.41,-0.13,37,-0.08093638498582134,0.6439407760345521,-0.4,0.26,0.0007805844534943166,0.8960178817626534
Pooled,DFA_alpha2,129,-0.2904229806502429,0.0008825813735272801,-0.44,-0.12,0,,,,,0.0019612919411717334,
