Dataset,n,R2_full,R2_A,R2_B,R2_C,R2_AB,R2_AC,R2_BC,Unique_Confounders,Unique_pNN50,Unique_Complexity,Shared_Conf_pNN50,Shared_Conf_Compl,Shared_pNN50_Compl,Shared_Triple,Sum_check
Chile,56,0.15004294452085742,0.06261150896041279,0.005799076253174662,0.11745746517755984,0.08301972868313101,0.1369996441463871,0.12492910842062721,0.025113836100230214,0.013043300374470324,0.06702321583772641,-0.005571657131402952,0.052106816329726136,0.0073649193482479,-0.00903748633814061,0.15004294452085742
Spain,52,0.09191373548294923,0.03438733597659338,0.04547764255018116,0.05000590343575351,0.07170692938782486,0.06964262150645084,0.07338840262147706,0.018525332861472177,0.02227111397649839,0.020206806095124374,0.0011113852092251575,0.007703953976171518,0.015048479434733086,0.007046663929724528,0.09191373548294923
Japan,37,0.41835530896158657,0.003646017428891035,0.0721430961130507,0.3858610741946251,0.07712441086454769,0.4096907359864309,0.3973838948910351,0.020971414070551475,0.00866457297515566,0.3412308980970389,0.0028582477212543145,-0.015990099319054485,0.06481382046050099,-0.0041935450438602695,0.41835530896158657
Pooled,146,0.144724861614415,0.05473516657229427,0.007448304275586404,0.0689350221497409,0.06561867129899412,0.14302915556734208,0.0699042248053573,0.0748206368090577,0.0016957060470729202,0.07910619031542088,-0.0007265033914565233,-0.016650269785649985,0.009187798679626935,-0.002708697059656928,0.144724861614415
