Dataset,Metric,n_adjusted,rho_adj,p_adj,q_adj,delta_rho,flag,rho_unadj,p_unadj,q_unadj
CETRAM,SDNN,62,-0.27239303971191864,0.03220495286179812,0.018502867319995904,0.011583692175971383,,-0.28397673188789,0.02529958276516907,0.020237038104127757
CETRAM,RMSSD,62,-0.2654931882853618,0.03702036719359517,0.018502867319995904,0.02351993150512449,,-0.2890131197904863,0.02271261656204359,0.020237038104127757
CETRAM,pNN50,62,0.401123114502279,0.001233524487999727,0.018502867319995904,0.0029211049835058955,,0.3982020095187731,0.0013491358736085171,0.020237038104127757
CETRAM,SDANN,0,,,,,,,,
CETRAM,SD1,62,-0.2654931882853618,0.03702036719359517,0.11106110158078553,0.02351993150512449,,-0.2890131197904863,0.02271261656204359,0.08517231210766346
CETRAM,SD2,62,-0.2699755735186724,0.03382881941839415,0.16914409709197076,0.019440457304021552,,-0.28941603082269396,0.02251570826046151,0.16886781195346132
CETRAM,SD1SD2,62,-0.12578378786734154,0.3299858029568299,0.49497870443524483,-0.018080632570320554,,-0.10770315529702099,0.40471823725910194,0.5304263574821669
CETRAM,VLF_power,62,0.08634887059001285,0.5045659170570347,0.5110832790171703,0.029563596988240036,,0.056785273601772816,0.6611092294837971,0.5304263574821669
CETRAM,LF_power,62,0.13469819445493694,0.2965797251944469,0.5110832790171703,0.018483543602528282,,0.11621465085240866,0.3683834978414423,0.5304263574821669
CETRAM,HF_power,62,0.05441817128755257,0.6744266889744599,0.5110832790171703,-0.002719649467401976,,0.05713782075495455,0.6591345691272669,0.5304263574821669
CETRAM,Total_power,62,0.13857621313993607,0.28276132139990773,0.5110832790171703,0.015260255344866691,,0.12331595779506938,0.33963774033754546,0.5304263574821669
CETRAM,LF_HF,62,0.001838281584447634,0.9886863155940551,0.5110832790171703,0.07826546800634586,,-0.07642718642189822,0.5549185904444924,0.5304263574821669
CETRAM,LF_norm,62,0.16340560549973557,0.20443331160686812,0.5110832790171703,0.03283724912492758,,0.130568356374808,0.3117715315662305,0.5304263574821669
CETRAM,HF_norm,62,-0.07285135101105487,0.5736346258120412,0.5357797274012138,-0.09211553473848556,,0.019264183727430686,0.8818589295587291,0.5304263574821669
CETRAM,DFA_alpha1,62,0.08362922112261087,0.5181306818139378,0.5357797274012138,0.08043111480446224,,0.0031981063181486242,0.9803185917249275,0.5304263574821669
CETRAM,DFA_alpha2,62,0.1279997985444839,0.3214678364407283,0.5357797274012138,-0.032686157487849726,,0.16068595603233363,0.21217054299286675,0.5304263574821669
Cruces,SDNN,52,-0.0013660035857594125,0.992331700048306,0.37284797793818186,-0.011098779134295227,,0.009732775548535815,0.9454039252930122,0.4433086129130488
Cruces,RMSSD,52,0.05925040553231452,0.6765018681982282,0.37284797793818186,0.008452147186886368,,0.05079825834542815,0.7206143702860248,0.4433086129130488
Cruces,pNN50,52,0.31093656620848625,0.024856531862545456,0.37284797793818186,0.008920822917921567,,0.3020157432905647,0.029553907527536585,0.4433086129130488
Cruces,SDANN,0,,,,,,,,
Cruces,SD1,52,0.05925040553231452,0.6765018681982282,0.9225025475430385,0.008452147186886368,,0.05079825834542815,0.7206143702860248,0.9381782942057891
Cruces,SD2,52,-0.000597626568769743,0.99664507827617,0.9769909291066019,-0.016562793477332877,,0.015965166908563134,0.9105578382892652,0.9381782942057891
Cruces,SD1SD2,52,0.11175616835994194,0.4302462088384019,0.9769909291066019,0.02774694783573807,,0.08400922052420387,0.5537695778524239,0.9381782942057891
Cruces,VLF_power,52,-0.13753948604115085,0.33088512281655846,0.9769909291066019,-0.04934687953555879,,-0.08819260650559206,0.5341263093784441,0.9381782942057891
Cruces,LF_power,52,0.09493724921027918,0.5031926342325653,0.9769909291066019,-0.01152565525484503,,0.10646290446512421,0.4525375548445064,0.9381782942057891
Cruces,HF_power,52,0.027917698283957997,0.8442487443717931,0.9769909291066019,-0.022880560061470153,,0.05079825834542815,0.7206143702860248,0.9381782942057891
Cruces,Total_power,52,-0.02527106633654913,0.8588559437511611,0.9769909291066019,-0.017416545718432506,,-0.007854520618116622,0.9559283700103179,0.9381782942057891
Cruces,LF_HF,52,-0.06633654913344146,0.6403235594704599,0.9769909291066019,0.014086911978143948,,-0.08042346111158541,0.5708749668806832,0.9381782942057891
Cruces,LF_norm,52,0.21258430803380857,0.1302654572142136,0.9769909291066019,0.0218560573721506,,0.19072825066165797,0.17560945083262508,0.9381782942057891
Cruces,HF_norm,52,0.13267309826688292,0.34844170056262747,1.0,-0.007598394945786763,,0.14027149321266968,0.32127654510336545,0.9381782942057891
Cruces,DFA_alpha1,52,-0.13386835140442244,0.34407729927213027,1.0,-0.017416545718432513,,-0.11645180568598992,0.4110000499933144,0.9381782942057891
Cruces,DFA_alpha2,52,-0.0848629727653035,0.5497330475506358,1.0,-0.03969947921113291,,-0.04516349355417058,0.7505426353646313,0.9381782942057891
