Dataset,Scale,Metric,n,rho,p,q_BH,sig
Chile,9,SD1,71,-0.389235412474849,0.0007939602015162,0.0055392572198809,**
Chile,9,SD2,71,-0.4319919517102615,0.0001687028725996,0.0014460246222827,**
Chile,9,SD1SD2,71,-0.0143527833668678,0.9054352922563876,0.9359329451141332,
Chile,9,VLF_power,71,0.0340040241448692,0.7783126412787917,0.855288616789881,
Chile,9,LF_power,71,0.1502012072434607,0.2112046100895385,0.3840083819809791,
Chile,9,HF_power,71,0.1644198524480214,0.1706306264038343,0.3367709731654625,
Chile,9,Total_power,71,0.2037558685446009,0.0883189596898564,0.2324183149733063,
Chile,9,LF_HF,71,-0.1519785378940308,0.2057897387657036,0.3787541204276753,
Chile,9,LF_norm,71,0.0615358819584171,0.6101982055824963,0.7351580386709027,
Chile,9,HF_norm,71,0.0812206572769953,0.50072879837494,0.6676383978332534,
Chile,9,DFA_alpha1,71,0.0621059691482226,0.6068867239629974,0.7351580386709027,
Chile,9,DFA_alpha2,71,0.1206237424547283,0.3163352354897762,0.5021194214123432,
Chile,9,SDANN,0,,,,
Chile,10,RMSSD,71,-0.2914822266934943,0.0136521597525327,0.055346593591349,
Chile,10,SDNN,71,-0.3263581488933601,0.0054758228553495,0.025667919634451,*
Chile,10,pNN50,71,0.1151240778001341,0.3390632258227528,0.5163399378011465,
Chile,10,SD1,71,-0.2914822266934943,0.0136521597525327,0.055346593591349,
Chile,10,SD2,71,-0.3318578135479543,0.0046950176540792,0.0237765731352054,*
Chile,10,SD1SD2,71,0.0217974513749161,0.8568151028344879,0.9019106345626188,
Chile,10,VLF_power,71,0.0549631120053655,0.6489284597038448,0.7658464113721424,
Chile,10,LF_power,71,0.1877934272300469,0.1168165781826344,0.2675188813342773,
Chile,10,HF_power,71,0.1844064386317907,0.1236843886641841,0.2769053477556362,
Chile,10,Total_power,71,0.2233400402414486,0.0611765773969692,0.1747902211341978,
Chile,10,LF_HF,71,-0.1082494969818913,0.3688761050881625,0.5398186903729207,
Chile,10,LF_norm,71,0.1119047619047619,0.3528310322929662,0.5281133896178022,
Chile,10,HF_norm,71,0.083869885982562,0.4868153543520832,0.6577339116693982,
Chile,10,DFA_alpha1,71,0.0392689470154258,0.7450764413938131,0.8345116462186852,
Chile,10,DFA_alpha2,71,0.0392689470154258,0.7450764413938131,0.8345116462186852,
Chile,10,SDANN,0,,,,
Chile,11,RMSSD,71,-0.2430918846411804,0.041079899948703,0.1339561954849014,
Chile,11,SDNN,71,-0.2902749832327297,0.0140646335631661,0.0555182903809191,
Chile,11,pNN50,71,0.1918846411804158,0.1089158415570619,0.251344249747066,
Chile,11,SD1,71,-0.2430918846411804,0.041079899948703,0.1339561954849014,
Chile,11,SD2,71,-0.3033869885982562,0.0101131549040713,0.0427316404397382,*
Chile,11,SD1SD2,71,0.0979208584842387,0.416559055240374,0.5848609329211706,
Chile,11,VLF_power,71,0.0642186452045606,0.5946838655804693,0.7311686871891016,
Chile,11,LF_power,71,0.2025486250838363,0.0902616485868347,0.2354651702265255,
Chile,11,HF_power,71,0.2524480214621059,0.0336751680795638,0.1174715165566182,
Chile,11,Total_power,71,0.2696177062374245,0.0229780620037853,0.0861677325141951,
Chile,11,LF_HF,71,-0.1951374916163648,0.1029343636919331,0.2431520402171648,
Chile,11,LF_norm,71,0.0545942320590207,0.6511311507695283,0.7658464113721424,
Chile,11,HF_norm,71,0.1679745137491616,0.1614454651655118,0.3257422269399712,
Chile,11,DFA_alpha1,71,0.024748490945674,0.8376781089362236,0.8879979953387529,
Chile,11,DFA_alpha2,71,0.0250838363514419,0.8355091646342806,0.8879979953387529,
Chile,11,SDANN,0,,,,
Chile,12,RMSSD,71,-0.3047954393024815,0.0097526863773987,0.0417972273317091,*
Chile,12,SDNN,71,-0.3446680080482897,0.0032458847461617,0.0173886682830096,*
Chile,12,pNN50,71,0.0863849765258215,0.4737979059701976,0.6490382273564351,
Chile,12,SD1,71,-0.3047954393024815,0.0097526863773987,0.0417972273317091,*
Chile,12,SD2,71,-0.3555667337357477,0.0023424270165834,0.0140545620995008,*
Chile,12,SD1SD2,71,0.0248826291079812,0.8368103854815422,0.8879979953387529,
Chile,12,VLF_power,71,0.0773977196512407,0.5211639205389684,0.6829847361330413,
Chile,12,LF_power,71,0.186150234741784,0.120110970725061,0.2724630528436814,
Chile,12,HF_power,71,0.2241113346747149,0.0602646937153481,0.1738404626404272,
Chile,12,Total_power,71,0.2535546613011401,0.0328782872376703,0.1160410137800129,
Chile,12,LF_HF,71,-0.1466130114017438,0.2224418410646469,0.3972175733297267,
Chile,12,LF_norm,71,0.0382293762575452,0.7516044767858596,0.8353044587785369,
Chile,12,HF_norm,71,0.1084171696847753,0.3681305211764329,0.5398186903729207,
Chile,12,DFA_alpha1,71,0.1144533869885982,0.3419033464852791,0.518035373462544,
Chile,12,DFA_alpha2,71,0.065627095908786,0.5866100603828321,0.7246832077135218,
Chile,12,SDANN,0,,,,
Chile,13,RMSSD,71,-0.1751844399731723,0.1439452943627799,0.3089555843641663,
Chile,13,SDNN,71,-0.2170690811535882,0.0690124552782473,0.1885488372838067,
Chile,13,pNN50,71,0.2412139503688799,0.0427179721273299,0.1363339535978616,
Chile,13,SD1,71,-0.1751844399731723,0.1439452943627799,0.3089555843641663,
Chile,13,SD2,71,-0.2333333333333332,0.0501916979340219,0.1498927003608821,
Chile,13,SD1SD2,71,0.080281690140845,0.5057091579872375,0.6712953424609347,
Chile,13,VLF_power,71,0.2218309859154929,0.062993016093474,0.1782821210192662,
Chile,13,LF_power,71,0.3308182427900737,0.0048345698708251,0.0237765731352054,*
Chile,13,HF_power,71,0.2886988598256204,0.0146192972251865,0.0569583008773502,
Chile,13,Total_power,71,0.3462776659959758,0.0030954181879728,0.0173886682830096,*
Chile,13,LF_HF,71,-0.0396378269617706,0.7427643123888268,0.8345116462186852,
Chile,13,LF_norm,71,0.2018108651911468,0.0914653033744165,0.2365481983821118,
Chile,13,HF_norm,71,0.0729040912139503,0.5457094742292998,0.7109352836670478,
Chile,13,DFA_alpha1,71,0.0779342723004694,0.5182707192061976,0.6829847361330413,
Chile,13,DFA_alpha2,71,0.0291750503018108,0.8091511932336267,0.8763370323829892,
Chile,13,SDANN,0,,,,
Chile,14,RMSSD,71,-0.1966465459423205,0.1002477020215481,0.2386850048132099,
Chile,14,SDNN,71,-0.2368544600938966,0.0467296044232946,0.1445245497627668,
Chile,14,pNN50,71,0.1223340040241448,0.3094715979318336,0.4964784993558828,
Chile,14,SD1,71,-0.1966465459423205,0.1002477020215481,0.2386850048132099,
Chile,14,SD2,71,-0.2495975855130784,0.0358024295458253,0.1206823467836808,
Chile,14,SD1SD2,71,0.0530516431924882,0.6603745365323079,0.7658464113721424,
Chile,14,VLF_power,71,0.1371562709590878,0.2540423853773657,0.4360308450464462,
Chile,14,LF_power,71,0.3298122065727699,0.0049731022848668,0.0240633981525815,*
Chile,14,HF_power,71,0.2764252179745137,0.0196206345066541,0.0745087386328639,
Chile,14,Total_power,71,0.3252515090543259,0.0056461147326734,0.0260589910738773,*
Chile,14,LF_HF,71,-0.0675720992622401,0.575542979381297,0.7210919111145973,
Chile,14,LF_norm,71,0.224413145539906,0.0599108832026827,0.1738404626404272,
Chile,14,HF_norm,71,0.1175385647216633,0.3289618303940548,0.5109920837922366,
Chile,14,DFA_alpha1,71,0.0703219315895372,0.5600631818107489,0.7109352836670478,
Chile,14,DFA_alpha2,71,-0.053252850435949,0.6591659614382485,0.7658464113721424,
Chile,14,SDANN,0,,,,
Chile,15,RMSSD,71,-0.2349094567404426,0.0486168554933425,0.1473238045252804,
Chile,15,SDNN,71,-0.2771629778672032,0.0192833207468294,0.0741666182570364,
Chile,15,pNN50,71,0.1554996646545942,0.1953550424534816,0.366290704600278,
Chile,15,SD1,71,-0.2349094567404426,0.0486168554933425,0.1473238045252804,
Chile,15,SD2,71,-0.2908786049631119,0.013857071478011,0.0554282859120442,
Chile,15,SD1SD2,71,0.1112676056338028,0.3555963490093201,0.5281133896178022,
Chile,15,VLF_power,71,0.1711938296445338,0.1534466702303716,0.319850562454139,
Chile,15,LF_power,71,0.3265258215962441,0.0054504205438206,0.025667919634451,*
Chile,15,HF_power,71,0.2966465459423205,0.0120034685966741,0.0500144524861423,
Chile,15,Total_power,71,0.3589872568745807,0.0021095025030262,0.0132116392470717,*
Chile,15,LF_HF,71,-0.0906773977196512,0.4520206773169933,0.6220468036472385,
Chile,15,LF_norm,71,0.17458081824279,0.1453534433602328,0.3092626454473038,
Chile,15,HF_norm,71,0.105197853789403,0.3826057823191325,0.5518352629602874,
Chile,15,DFA_alpha1,71,0.0544600938967136,0.6519328697747698,0.7658464113721424,
Chile,15,DFA_alpha2,71,-0.0306505700871898,0.7996951407419041,0.8755786212502599,
Chile,15,SDANN,0,,,,
Chile,16,RMSSD,71,-0.1611012835509629,0.1795460401036409,0.3475084647167244,
Chile,16,SDNN,71,-0.2001693508567231,0.0941886935457634,0.2386850048132099,
Chile,16,pNN50,71,0.2191332925403346,0.0663487031281308,0.1860244012938247,
Chile,16,SD1,71,-0.1611012835509629,0.1795460401036409,0.3475084647167244,
Chile,16,SD2,71,-0.2142036737472473,0.0728518084319114,0.1951387725854771,
Chile,16,SD1SD2,71,0.1342063565301735,0.2644961018156351,0.4457799468802839,
Chile,16,VLF_power,71,0.1296456207760247,0.2812218380762081,0.4610194066823083,
Chile,16,LF_power,71,0.3423402275457963,0.0034750080437335,0.01828951601965,*
Chile,16,HF_power,71,0.3157806487422237,0.0073052322372444,0.0327099950921393,*
Chile,16,Total_power,71,0.3451739199812785,0.0031979059492737,0.0173886682830096,*
Chile,16,LF_HF,71,-0.0960269620000379,0.4256724812975621,0.5939616018105518,
Chile,16,LF_norm,71,0.2174733188651113,0.068484151700941,0.1885488372838067,
Chile,16,HF_norm,71,0.148626329870497,0.2160862222718279,0.390517269165954,
Chile,16,DFA_alpha1,71,0.0098089353535921,0.9352936975867592,0.9543813240681216,
Chile,16,DFA_alpha2,71,-0.0636658590386143,0.5978661678467228,0.73208102185313,
Chile,16,SDANN,0,,,,
Chile,17,RMSSD,71,-0.1163648558014755,0.3338481614109279,0.5109920837922366,
Chile,17,SDNN,71,-0.1567404426559356,0.1917700599373191,0.3618303017685266,
Chile,17,pNN50,71,0.3075117370892019,0.0090890129803809,0.0400985866781511,*
Chile,17,SD1,71,-0.1163648558014755,0.3338481614109279,0.5109920837922366,
Chile,17,SD2,71,-0.1700871898054996,0.1561623101774192,0.3208814592686697,
Chile,17,SD1SD2,71,0.1331321260898725,0.2683739170874167,0.4472898618123613,
Chile,17,VLF_power,71,0.1575117370892018,0.1895655490298456,0.3618303017685266,
Chile,17,LF_power,71,0.3490610328638497,0.002849857164349,0.0164414836404752,*
Chile,17,HF_power,71,0.3456405097250167,0.0031542176601286,0.0173886682830096,*
Chile,17,Total_power,71,0.3814889336016096,0.0010288669126585,0.0068591127510569,**
Chile,17,LF_HF,71,-0.0854795439302481,0.4784625031919546,0.652448867989029,
Chile,17,LF_norm,71,0.2169349429912809,0.0691884840266904,0.1885488372838067,
Chile,17,HF_norm,71,0.1369885982562038,0.2546289236716185,0.4360308450464462,
Chile,17,DFA_alpha1,71,0.0377598926894701,0.7545583610966117,0.8353044587785369,
Chile,17,DFA_alpha2,71,-0.0218980549966465,0.8561612823097626,0.9019106345626188,
Chile,17,SDANN,0,,,,
Chile,18,RMSSD,71,-0.0702883970489604,0.560250764523953,0.7109352836670478,
Chile,18,SDNN,71,-0.12018779342723,0.3181002979458266,0.5022636283355157,
Chile,18,pNN50,71,0.323440643863179,0.0059348639424411,0.0269766542838233,*
Chile,18,SD1,71,-0.0702883970489604,0.560250764523953,0.7109352836670478,
Chile,18,SD2,71,-0.1408115358819583,0.2414840715268412,0.4187585055378749,
Chile,18,SD1SD2,71,0.1760228034875922,0.1420065362752028,0.3089555843641663,
Chile,18,VLF_power,71,0.1309188464118041,0.2764834307516354,0.4557419188213771,
Chile,18,LF_power,71,0.3578806170355466,0.0021824799884299,0.0133621223781425,*
Chile,18,HF_power,71,0.4144533869885982,0.0003265229688464,0.0023891924549742,**
Chile,18,Total_power,71,0.4237089201877934,0.0002314800676539,0.0018768654134101,**
Chile,18,LF_HF,71,-0.1708249496981891,0.1543479527944417,0.319850562454139,
Chile,18,LF_norm,71,0.1793762575452716,0.1344472969342763,0.2987717709650584,
Chile,18,HF_norm,71,0.239570757880617,0.0441952480459131,0.1395494260742678,
Chile,18,DFA_alpha1,71,0.0834674714956405,0.488915541007586,0.6577339116693982,
Chile,18,DFA_alpha2,71,-0.0914486921529175,0.448167119855627,0.6195858799847379,
Chile,18,SDANN,0,,,,
Chile,19,RMSSD,71,-0.1984238765928906,0.0971538882028816,0.2386850048132099,
Chile,19,SDNN,71,-0.2417169684775318,0.0422739947713391,0.1363339535978616,
Chile,19,pNN50,71,0.1309859154929577,0.2762353129563076,0.4557419188213771,
Chile,19,SD1,71,-0.1984238765928906,0.0971538882028816,0.2386850048132099,
Chile,19,SD2,71,-0.2666331321260898,0.0245971954569469,0.0899897394766352,
Chile,19,SD1SD2,71,0.1422870556673373,0.2365378550862589,0.4171364729130938,
Chile,19,VLF_power,71,0.047719651240778,0.6927092795835177,0.7931785644086081,
Chile,19,LF_power,71,0.2670355466130114,0.0243734003120823,0.0899897394766352,
Chile,19,HF_power,71,0.4376592890677397,0.0001352269288664,0.0011931787841158,**
Chile,19,Total_power,71,0.3309523809523809,0.0048163592939437,0.0237765731352054,*
Chile,19,LF_HF,71,-0.3337692823608316,0.0044477026947632,0.0230053587660165,*
Chile,19,LF_norm,71,0.0269617706237424,0.8233861173424206,0.8853614164972264,
Chile,19,HF_norm,71,0.3589201877934272,0.0021138622795314,0.0132116392470717,*
Chile,19,DFA_alpha1,71,0.0567739771965123,0.6381590532783324,0.7597131586646815,
Chile,19,DFA_alpha2,71,-0.0082494969818913,0.9455636928796656,0.9615901961488124,
Chile,19,SDANN,0,,,,
Chile,20,RMSSD,71,-0.1983232729711602,0.0973269922044732,0.2386850048132099,
Chile,20,SDNN,71,-0.2330650570087189,0.0504638757881636,0.1498927003608821,
Chile,20,pNN50,71,0.1940979208584842,0.1048175211853794,0.2456660652782331,
Chile,20,SD1,71,-0.1983232729711602,0.0973269922044732,0.2386850048132099,
Chile,20,SD2,71,-0.2513749161636485,0.0344632659233172,0.1176580549973628,
Chile,20,SD1SD2,71,0.072300469483568,0.549048843784988,0.7109352836670478,
Chile,20,VLF_power,71,0.1616700201207243,0.1779945445394321,0.3475084647167244,
Chile,20,LF_power,71,0.3634473507712944,0.0018370579514441,0.0119808127268099,*
Chile,20,HF_power,71,0.443796109993293,0.000105955758732,0.0010595575873202,**
Chile,20,Total_power,71,0.4389336016096579,0.0001285969182321,0.0011690628930193,**
Chile,20,LF_HF,71,-0.1981220657276995,0.0976739235457253,0.2386850048132099,
