Dataset,n,R2_full,R2_A,R2_B,R2_C,R2_AB,R2_AC,R2_BC,Unique_Confounders,Unique_pNN50,Unique_Complexity,Shared_Conf_pNN50,Shared_Conf_Compl,Shared_pNN50_Compl,Shared_Triple,Sum_check
Chile,61,0.14014857791480773,0.08449033379895954,0.004170180354299946,0.07515161433828199,0.09220315718641447,0.1224135824113356,0.09390768238703973,0.046240895527768,0.01773499550347213,0.04794542072839325,0.0010210725452856062,0.04179208130434653,-0.010022172116017192,-0.004563715578440597,0.14014857791480773
Spain,52,0.09191373548294923,0.03438733597659338,0.04547764255018116,0.05000590343575351,0.07170692938782486,0.06964262150645084,0.07338840262147706,0.018525332861472177,0.02227111397649839,0.020206806095124374,0.0011113852092251575,0.007703953976171518,0.015048479434733086,0.007046663929724528,0.09191373548294923
Japan,37,0.41835530896158657,0.003646017428891035,0.0721430961130507,0.3858610741946251,0.07712441086454769,0.4096907359864309,0.3973838948910351,0.020971414070551475,0.00866457297515566,0.3412308980970389,0.0028582477212543145,-0.015990099319054485,0.06481382046050099,-0.0041935450438602695,0.41835530896158657
Pooled,151,0.12177841209255857,0.0457961246591394,0.0387955610509928,0.06070684775419333,0.05482377587854803,0.12167208492480819,0.07105552322913056,0.05072288886342802,0.00010632716775038631,0.06695463621401054,0.010242348307186844,-0.034694674035872786,0.008921324051658241,0.019525561524397328,0.12177841209255857
