sample,tipo
664,cleaned
1947,cleaned
2949,cleaned
3990,cleaned
4925,cleaned
5973,cleaned
6918,cleaned
7918,cleaned
8925,cleaned
9942,cleaned
10949,cleaned
11965,cleaned
13013,cleaned
14035,cleaned
15085,cleaned
16105,cleaned
17101,cleaned
18107,cleaned
19131,cleaned
20147,cleaned
21165,cleaned
22117,cleaned
24220,cleaned
25208,cleaned
26203,cleaned
27197,cleaned
28184,cleaned
29221,cleaned
30212,cleaned
31208,cleaned
32159,cleaned
33145,cleaned
34136,cleaned
35129,cleaned
36121,cleaned
37121,cleaned
38107,cleaned
39092,cleaned
40065,cleaned
41103,cleaned
42034,cleaned
43013,cleaned
44038,cleaned
44951,cleaned
45924,cleaned
46897,cleaned
47862,cleaned
48838,cleaned
49804,cleaned
50768,cleaned
51709,cleaned
52655,cleaned
53661,cleaned
54711,cleaned
55735,cleaned
56704,cleaned
57722,cleaned
58725,cleaned
59760,cleaned
60782,cleaned
61718,cleaned
62716,cleaned
63695,cleaned
64670,cleaned
65622,cleaned
66598,cleaned
67566,cleaned
68540,cleaned
69506,cleaned
70459,cleaned
71424,cleaned
72380,cleaned
73357,cleaned
74316,cleaned
75277,cleaned
76268,cleaned
77210,cleaned
78179,cleaned
79139,cleaned
80093,cleaned
81142,cleaned
82054,cleaned
83060,cleaned
84033,cleaned
85035,cleaned
86038,cleaned
87079,cleaned
88021,cleaned
89010,cleaned
89983,cleaned
90978,cleaned
92040,cleaned
92976,cleaned
93951,cleaned
94933,cleaned
96165,cleaned
97873,cleaned
98841,cleaned
99832,cleaned
100817,cleaned
101809,cleaned
102774,cleaned
103746,cleaned
104790,cleaned
105725,cleaned
106694,cleaned
107639,cleaned
108593,cleaned
109558,cleaned
110504,cleaned
111436,cleaned
112403,cleaned
113373,cleaned
114351,cleaned
115332,cleaned
116307,cleaned
118203,cleaned
119183,cleaned
120146,cleaned
122112,cleaned
123095,cleaned
124071,cleaned
125042,cleaned
126011,cleaned
127008,cleaned
128008,cleaned
129001,cleaned
129965,cleaned
130947,cleaned
131926,cleaned
132903,cleaned
133890,cleaned
134851,cleaned
135836,cleaned
136811,cleaned
137797,cleaned
138783,cleaned
139765,cleaned
140759,cleaned
141749,cleaned
142755,cleaned
143882,cleaned
144822,cleaned
145860,cleaned
146826,cleaned
147846,cleaned
148859,cleaned
149873,cleaned
150865,cleaned
151856,cleaned
152862,cleaned
153847,cleaned
154820,cleaned
155804,cleaned
156817,cleaned
157798,cleaned
158731,cleaned
159694,cleaned
160677,cleaned
161657,cleaned
162629,cleaned
163612,cleaned
164609,cleaned
165604,cleaned
166620,cleaned
167622,cleaned
168675,cleaned
169623,cleaned
170606,cleaned
171611,cleaned
172609,cleaned
173593,cleaned
174590,cleaned
175591,cleaned
176571,cleaned
177569,cleaned
178623,cleaned
179552,cleaned
180560,cleaned
181558,cleaned
182549,cleaned
183607,cleaned
184533,cleaned
186724,cleaned
187742,cleaned
188771,cleaned
189789,cleaned
190785,cleaned
191802,cleaned
192803,cleaned
193797,cleaned
194810,cleaned
196794,cleaned
197792,cleaned
198768,cleaned
199760,cleaned
200745,cleaned
201714,cleaned
202702,cleaned
203679,cleaned
204659,cleaned
205652,cleaned
206625,cleaned
207617,cleaned
208605,cleaned
209571,cleaned
210562,cleaned
211545,cleaned
212538,cleaned
213528,cleaned
214555,cleaned
215559,cleaned
216572,cleaned
217568,cleaned
218569,cleaned
219570,cleaned
220552,cleaned
221351,cleaned
222546,cleaned
223577,cleaned
224527,cleaned
225562,cleaned
226523,cleaned
227520,cleaned
228491,cleaned
229479,cleaned
230457,cleaned
231433,cleaned
232417,cleaned
233388,cleaned
234375,cleaned
235344,cleaned
236336,cleaned
237319,cleaned
238306,cleaned
239297,cleaned
240279,cleaned
241276,cleaned
242314,cleaned
243252,cleaned
244243,cleaned
245250,cleaned
246254,cleaned
247251,cleaned
248246,cleaned
249251,cleaned
250261,cleaned
251256,cleaned
252265,cleaned
253265,cleaned
254265,cleaned
255279,cleaned
256275,cleaned
257349,cleaned
258296,cleaned
259305,cleaned
260301,cleaned
261302,cleaned
262305,cleaned
263344,cleaned
264280,cleaned
265273,cleaned
266251,cleaned
267236,cleaned
268226,cleaned
269273,cleaned
270255,cleaned
271204,cleaned
272205,cleaned
273194,cleaned
274200,cleaned
275215,cleaned
276218,cleaned
277292,cleaned
278353,cleaned
279320,cleaned
280365,cleaned
281396,cleaned
282442,cleaned
283451,cleaned
284471,cleaned
285494,cleaned
286491,cleaned
287511,cleaned
288516,cleaned
289511,cleaned
290525,cleaned
291524,cleaned
292527,cleaned
293543,cleaned
294535,cleaned
295546,cleaned
296556,cleaned
297555,cleaned
298634,cleaned
299578,cleaned
300588,cleaned
301610,cleaned
302615,cleaned
303693,cleaned
304708,cleaned
305761,cleaned
306816,cleaned
307912,cleaned
308900,cleaned
309919,cleaned
310872,cleaned
311825,cleaned
312899,cleaned
313912,cleaned
314917,cleaned
315909,cleaned
316967,cleaned
317909,cleaned
318914,cleaned
319906,cleaned
320915,cleaned
321905,cleaned
322909,cleaned
323912,cleaned
324917,cleaned
325912,cleaned
326915,cleaned
327913,cleaned
328917,cleaned
329912,cleaned
330915,cleaned
331922,cleaned
332917,cleaned
333923,cleaned
334971,cleaned
335923,cleaned
336926,cleaned
337942,cleaned
338988,cleaned
339955,cleaned
340961,cleaned
341983,cleaned
342985,cleaned
344028,cleaned
345046,cleaned
346067,cleaned
347081,cleaned
348087,cleaned
349086,cleaned
350071,cleaned
351137,cleaned
352074,cleaned
353126,cleaned
354073,cleaned
355098,cleaned
356036,cleaned
357014,cleaned
357974,cleaned
358952,cleaned
359967,cleaned
360960,cleaned
361986,cleaned
363047,cleaned
364008,cleaned
365008,cleaned
366006,cleaned
367008,cleaned
367993,cleaned
369006,cleaned
370001,cleaned
371022,cleaned
372033,cleaned
373043,cleaned
374058,cleaned
375058,cleaned
376164,cleaned
377174,cleaned
378278,cleaned
379240,cleaned
380269,cleaned
381285,cleaned
382290,cleaned
383300,cleaned
384304,cleaned
385305,cleaned
386361,cleaned
387293,cleaned
388346,cleaned
389283,cleaned
390266,cleaned
391265,cleaned
392251,cleaned
393233,cleaned
394218,cleaned
395198,cleaned
396193,cleaned
397174,cleaned
398175,cleaned
399162,cleaned
400160,cleaned
401141,cleaned
402135,cleaned
403168,cleaned
404119,cleaned
405165,cleaned
406215,cleaned
407318,cleaned
408299,cleaned
409338,cleaned
410362,cleaned
411401,cleaned
412422,cleaned
413445,cleaned
414450,cleaned
415510,cleaned
416471,cleaned
417473,cleaned
418532,cleaned
419467,cleaned
420474,cleaned
421458,cleaned
422448,cleaned
423437,cleaned
424464,cleaned
425411,cleaned
426400,cleaned
427373,cleaned
428364,cleaned
429364,cleaned
430390,cleaned
431396,cleaned
432406,cleaned
433399,cleaned
434403,cleaned
435398,cleaned
436393,cleaned
437395,cleaned
438382,cleaned
439384,cleaned
440381,cleaned
441384,cleaned
442366,cleaned
443429,cleaned
444374,cleaned
445392,cleaned
446408,cleaned
447400,cleaned
448415,cleaned
449455,cleaned
450406,cleaned
451400,cleaned
452374,cleaned
453372,cleaned
454417,cleaned
455375,cleaned
456341,cleaned
457344,cleaned
458351,cleaned
459356,cleaned
460359,cleaned
461358,cleaned
462361,cleaned
463347,cleaned
464341,cleaned
465322,cleaned
466317,cleaned
467295,cleaned
468381,cleaned
469253,cleaned
470249,cleaned
471248,cleaned
472289,cleaned
473283,cleaned
474225,cleaned
475225,cleaned
476207,cleaned
477183,cleaned
478230,cleaned
479159,cleaned
480196,cleaned
481233,cleaned
482231,cleaned
483322,cleaned
484358,cleaned
485386,cleaned
486400,cleaned
487406,cleaned
488407,cleaned
489401,cleaned
490398,cleaned
491382,cleaned
492433,cleaned
493372,cleaned
494367,cleaned
495373,cleaned
496364,cleaned
497403,cleaned
498400,cleaned
499429,cleaned
500503,cleaned
501470,cleaned
502499,cleaned
503513,cleaned
504507,cleaned
505508,cleaned
506501,cleaned
507506,cleaned
508567,cleaned
509496,cleaned
510501,cleaned
511486,cleaned
512444,cleaned
513345,cleaned
514307,cleaned
515253,cleaned
516203,cleaned
517145,cleaned
518088,cleaned
519040,cleaned
520056,cleaned
520990,cleaned
521976,cleaned
523030,cleaned
524032,cleaned
524989,cleaned
526003,cleaned
527023,cleaned
528038,cleaned
529058,cleaned
530080,cleaned
531163,cleaned
532188,cleaned
533219,cleaned
534229,cleaned
535251,cleaned
536256,cleaned
537271,cleaned
538268,cleaned
539310,cleaned
540254,cleaned
541241,cleaned
542217,cleaned
543209,cleaned
544182,cleaned
545147,cleaned
546135,cleaned
547101,cleaned
548079,cleaned
549059,cleaned
550028,cleaned
551017,cleaned
551985,cleaned
552987,cleaned
553973,cleaned
554987,cleaned
556037,cleaned
557085,cleaned
558123,cleaned
559121,cleaned
560147,cleaned
561140,cleaned
562213,cleaned
563139,cleaned
564152,cleaned
565142,cleaned
566148,cleaned
567147,cleaned
568211,cleaned
569140,cleaned
570139,cleaned
571122,cleaned
572167,cleaned
573119,cleaned
574107,cleaned
575092,cleaned
576083,cleaned
577070,cleaned
578077,cleaned
579060,cleaned
580066,cleaned
581059,cleaned
582057,cleaned
583086,cleaned
584029,cleaned
585075,cleaned
586005,cleaned
586988,cleaned
588007,cleaned
588951,cleaned
589919,cleaned
590910,cleaned
591882,cleaned
592883,cleaned
593921,cleaned
594850,cleaned
595838,cleaned
596813,cleaned
597836,cleaned
598805,cleaned
599780,cleaned
600775,cleaned
601744,cleaned
602731,cleaned
