sample,tipo
1148,cleaned
1855,cleaned
2543,cleaned
3233,cleaned
3836,cleaned
4580,cleaned
5174,cleaned
5925,cleaned
6596,cleaned
7291,cleaned
7950,cleaned
8633,cleaned
9335,cleaned
9934,cleaned
10722,cleaned
11273,cleaned
13543,cleaned
14260,cleaned
14983,cleaned
15685,cleaned
16385,cleaned
17130,cleaned
17820,cleaned
18492,cleaned
19214,cleaned
19779,cleaned
20431,cleaned
21260,cleaned
21973,cleaned
22638,cleaned
23328,cleaned
24025,cleaned
24738,cleaned
25431,cleaned
26796,cleaned
27486,cleaned
28217,cleaned
28903,cleaned
29599,cleaned
30294,cleaned
31026,cleaned
31715,cleaned
32444,cleaned
33109,cleaned
33808,cleaned
34502,cleaned
35206,cleaned
35870,cleaned
36569,cleaned
37297,cleaned
38035,cleaned
38773,cleaned
39506,cleaned
40227,cleaned
40925,cleaned
41642,cleaned
42312,cleaned
42982,cleaned
43671,cleaned
44319,cleaned
44990,cleaned
45675,cleaned
46308,cleaned
46967,cleaned
47655,cleaned
48340,cleaned
49079,cleaned
49836,cleaned
50581,cleaned
51316,cleaned
52071,cleaned
52809,cleaned
53527,cleaned
54254,cleaned
54985,cleaned
55650,cleaned
56338,cleaned
57025,cleaned
57692,cleaned
58356,cleaned
59015,cleaned
59703,cleaned
60375,cleaned
61044,cleaned
61769,cleaned
62452,cleaned
63178,cleaned
63916,cleaned
64596,cleaned
65328,cleaned
66012,cleaned
66728,cleaned
67404,cleaned
68089,cleaned
68800,cleaned
69483,cleaned
70130,cleaned
70803,cleaned
71483,cleaned
72172,cleaned
72838,cleaned
73494,cleaned
74163,cleaned
74857,cleaned
75497,cleaned
76160,cleaned
76837,cleaned
77516,cleaned
78194,cleaned
78885,cleaned
79663,cleaned
80325,cleaned
81022,cleaned
81719,cleaned
82407,cleaned
83101,cleaned
83818,cleaned
84500,cleaned
85149,cleaned
85826,cleaned
86500,cleaned
87206,cleaned
87825,cleaned
88501,cleaned
89165,cleaned
89847,cleaned
90486,cleaned
91168,cleaned
91855,cleaned
92540,cleaned
93240,cleaned
93954,cleaned
94663,cleaned
95374,cleaned
96090,cleaned
96794,cleaned
97485,cleaned
98181,cleaned
98878,cleaned
99556,cleaned
100233,cleaned
100937,cleaned
101598,cleaned
102279,cleaned
102956,cleaned
103639,cleaned
104328,cleaned
105014,cleaned
105712,cleaned
106411,cleaned
107139,cleaned
107801,cleaned
108501,cleaned
109225,cleaned
109890,cleaned
110588,cleaned
111309,cleaned
111970,cleaned
112673,cleaned
113337,cleaned
114019,cleaned
114721,cleaned
115383,cleaned
116067,cleaned
116748,cleaned
117472,cleaned
118135,cleaned
118820,cleaned
119523,cleaned
120256,cleaned
120956,cleaned
121624,cleaned
122320,cleaned
123005,cleaned
123696,cleaned
124399,cleaned
125090,cleaned
125798,cleaned
126460,cleaned
127135,cleaned
127800,cleaned
128466,cleaned
129130,cleaned
129791,cleaned
130457,cleaned
131166,cleaned
131837,cleaned
132524,cleaned
133224,cleaned
133930,cleaned
134628,cleaned
135325,cleaned
136023,cleaned
136736,cleaned
137405,cleaned
138104,cleaned
138786,cleaned
139463,cleaned
140130,cleaned
140793,cleaned
141474,cleaned
142160,cleaned
142857,cleaned
143542,cleaned
144223,cleaned
144897,cleaned
145570,cleaned
146249,cleaned
146914,cleaned
147598,cleaned
148280,cleaned
148979,cleaned
149525,cleaned
150366,cleaned
151039,cleaned
151755,cleaned
152417,cleaned
153141,cleaned
153805,cleaned
154489,cleaned
155171,cleaned
155884,cleaned
156549,cleaned
157230,cleaned
157914,cleaned
158603,cleaned
159291,cleaned
159978,cleaned
160668,cleaned
161361,cleaned
162046,cleaned
162723,cleaned
163413,cleaned
164105,cleaned
164787,cleaned
165471,cleaned
166168,cleaned
166856,cleaned
167546,cleaned
168239,cleaned
168938,cleaned
169645,cleaned
170307,cleaned
170992,cleaned
171692,cleaned
172326,cleaned
173003,cleaned
175784,cleaned
176448,cleaned
177129,cleaned
177776,cleaned
178427,cleaned
179071,cleaned
179713,cleaned
180359,cleaned
