sample,tipo
607,cleaned
1803,cleaned
2732,cleaned
3686,cleaned
4613,cleaned
5532,cleaned
6452,cleaned
7347,cleaned
8304,cleaned
9186,cleaned
10093,cleaned
11009,cleaned
11961,cleaned
12835,cleaned
13781,cleaned
14708,cleaned
15634,cleaned
16520,cleaned
17483,cleaned
18429,cleaned
19370,cleaned
20287,cleaned
21166,cleaned
22050,cleaned
22966,cleaned
23818,cleaned
24714,cleaned
25538,cleaned
26405,cleaned
27310,cleaned
28161,cleaned
29028,cleaned
29943,cleaned
30808,cleaned
31696,cleaned
32592,cleaned
33482,cleaned
34455,cleaned
35300,cleaned
36254,cleaned
37125,cleaned
38044,cleaned
38957,cleaned
39861,cleaned
40782,cleaned
41713,cleaned
42667,cleaned
43605,cleaned
44516,cleaned
45462,cleaned
46420,cleaned
47325,cleaned
48205,cleaned
49111,cleaned
49988,cleaned
50904,cleaned
51806,cleaned
52696,cleaned
53629,cleaned
54582,cleaned
55515,cleaned
56417,cleaned
57330,cleaned
58278,cleaned
59221,cleaned
60091,cleaned
61010,cleaned
61912,cleaned
62801,cleaned
63718,cleaned
64625,cleaned
65521,cleaned
66456,cleaned
67340,cleaned
68277,cleaned
69157,cleaned
70077,cleaned
70997,cleaned
71946,cleaned
72821,cleaned
73721,cleaned
74663,cleaned
75558,cleaned
76456,cleaned
77318,cleaned
78243,cleaned
79130,cleaned
80030,cleaned
80876,cleaned
81762,cleaned
82648,cleaned
83564,cleaned
84448,cleaned
85299,cleaned
86172,cleaned
87026,cleaned
87917,cleaned
88743,cleaned
89585,cleaned
90445,cleaned
91338,cleaned
92179,cleaned
93080,cleaned
93914,cleaned
94770,cleaned
95669,cleaned
96550,cleaned
97411,cleaned
98293,cleaned
99189,cleaned
100141,cleaned
101051,cleaned
101938,cleaned
102842,cleaned
103737,cleaned
104624,cleaned
105537,cleaned
106377,cleaned
107251,cleaned
108163,cleaned
109068,cleaned
109979,cleaned
110892,cleaned
111852,cleaned
112719,cleaned
113674,cleaned
114571,cleaned
115488,cleaned
116416,cleaned
117276,cleaned
118173,cleaned
119069,cleaned
120018,cleaned
120944,cleaned
121855,cleaned
122835,cleaned
123751,cleaned
124673,cleaned
125597,cleaned
126520,cleaned
127447,cleaned
128410,cleaned
129312,cleaned
130243,cleaned
131150,cleaned
132042,cleaned
132970,cleaned
133829,cleaned
134733,cleaned
135667,cleaned
136586,cleaned
137486,cleaned
138446,cleaned
139376,cleaned
140284,cleaned
141151,cleaned
142081,cleaned
142947,cleaned
143841,cleaned
144751,cleaned
145674,cleaned
146623,cleaned
147526,cleaned
148463,cleaned
149421,cleaned
150320,cleaned
151253,cleaned
152178,cleaned
153090,cleaned
154027,cleaned
154907,cleaned
155825,cleaned
156741,cleaned
157649,cleaned
158588,cleaned
159507,cleaned
160431,cleaned
161316,cleaned
162264,cleaned
163153,cleaned
164072,cleaned
164979,cleaned
165923,cleaned
166836,cleaned
167718,cleaned
168657,cleaned
169518,cleaned
170404,cleaned
171320,cleaned
172182,cleaned
173089,cleaned
174004,cleaned
174850,cleaned
175759,cleaned
176690,cleaned
177570,cleaned
178477,cleaned
179412,cleaned
180297,cleaned
181153,cleaned
182093,cleaned
182933,cleaned
183851,cleaned
184734,cleaned
185628,cleaned
186502,cleaned
187409,cleaned
188352,cleaned
189223,cleaned
190131,cleaned
191077,cleaned
192007,cleaned
192893,cleaned
193760,cleaned
194660,cleaned
195587,cleaned
196478,cleaned
197369,cleaned
198231,cleaned
199130,cleaned
200021,cleaned
200911,cleaned
201807,cleaned
202741,cleaned
203641,cleaned
204516,cleaned
205384,cleaned
206296,cleaned
207241,cleaned
208152,cleaned
209034,cleaned
209932,cleaned
210827,cleaned
211715,cleaned
212589,cleaned
213503,cleaned
214395,cleaned
215264,cleaned
216212,cleaned
217080,cleaned
218041,cleaned
218947,cleaned
219900,cleaned
220894,cleaned
221787,cleaned
222722,cleaned
223673,cleaned
224549,cleaned
225499,cleaned
226435,cleaned
227263,cleaned
228170,cleaned
229074,cleaned
230012,cleaned
230916,cleaned
231837,cleaned
232751,cleaned
233668,cleaned
234574,cleaned
235434,cleaned
236344,cleaned
237179,cleaned
238066,cleaned
238892,cleaned
239749,cleaned
240615,cleaned
241518,cleaned
242396,cleaned
244138,cleaned
245022,cleaned
245908,cleaned
246802,cleaned
247696,cleaned
248559,cleaned
249405,cleaned
251939,cleaned
252699,cleaned
255124,cleaned
255948,cleaned
256801,cleaned
257610,cleaned
258439,cleaned
259264,cleaned
260133,cleaned
260945,cleaned
261843,cleaned
262683,cleaned
263592,cleaned
264496,cleaned
265326,cleaned
266248,cleaned
267068,cleaned
267940,cleaned
268851,cleaned
269699,cleaned
270624,cleaned
271492,cleaned
272390,cleaned
273301,cleaned
274223,cleaned
275143,cleaned
276997,cleaned
277854,cleaned
278729,cleaned
279587,cleaned
280434,cleaned
281257,cleaned
282114,cleaned
282929,cleaned
283789,cleaned
284700,cleaned
285643,cleaned
286611,cleaned
287570,cleaned
288518,cleaned
289456,cleaned
290372,cleaned
291311,cleaned
292166,cleaned
293911,cleaned
294822,cleaned
295700,cleaned
296650,cleaned
297526,cleaned
298449,cleaned
299390,cleaned
300370,cleaned
301337,cleaned
302278,cleaned
303292,cleaned
304236,cleaned
305166,cleaned
306061,cleaned
307012,cleaned
307895,cleaned
308830,cleaned
309766,cleaned
310594,cleaned
311523,cleaned
313311,cleaned
314229,cleaned
315160,cleaned
316102,cleaned
317066,cleaned
317969,cleaned
318924,cleaned
319818,cleaned
320755,cleaned
321667,cleaned
323457,cleaned
324356,cleaned
325309,cleaned
326170,cleaned
327076,cleaned
327981,cleaned
328895,cleaned
329858,cleaned
330758,cleaned
331671,cleaned
332622,cleaned
333501,cleaned
334423,cleaned
335353,cleaned
336249,cleaned
337204,cleaned
338092,cleaned
339002,cleaned
339898,cleaned
340806,cleaned
341661,cleaned
342578,cleaned
343492,cleaned
344371,cleaned
345257,cleaned
346140,cleaned
347102,cleaned
348006,cleaned
348963,cleaned
349878,cleaned
350784,cleaned
351712,cleaned
352523,cleaned
353348,cleaned
354236,cleaned
355076,cleaned
355968,cleaned
356903,cleaned
357808,cleaned
358672,cleaned
359574,cleaned
360484,cleaned
361474,cleaned
362276,cleaned
363187,cleaned
364100,cleaned
365043,cleaned
365968,cleaned
366826,cleaned
367740,cleaned
368635,cleaned
369433,cleaned
370316,cleaned
371172,cleaned
372009,cleaned
372908,cleaned
373733,cleaned
374601,cleaned
375500,cleaned
376357,cleaned
377262,cleaned
378195,cleaned
379145,cleaned
380126,cleaned
381074,cleaned
381976,cleaned
382923,cleaned
383789,cleaned
384706,cleaned
385586,cleaned
386477,cleaned
387354,cleaned
388297,cleaned
389200,cleaned
390140,cleaned
391119,cleaned
392081,cleaned
393033,cleaned
393947,cleaned
394892,cleaned
395864,cleaned
396804,cleaned
397710,cleaned
398654,cleaned
399573,cleaned
400482,cleaned
401396,cleaned
402288,cleaned
403249,cleaned
404189,cleaned
405138,cleaned
406086,cleaned
406996,cleaned
407991,cleaned
408857,cleaned
409789,cleaned
410755,cleaned
411643,cleaned
412561,cleaned
413513,cleaned
414448,cleaned
415387,cleaned
416333,cleaned
417211,cleaned
418206,cleaned
419103,cleaned
419990,cleaned
420896,cleaned
421836,cleaned
422726,cleaned
423654,cleaned
424611,cleaned
425499,cleaned
426421,cleaned
427382,cleaned
428308,cleaned
429231,cleaned
430163,cleaned
431139,cleaned
432011,cleaned
432936,cleaned
433825,cleaned
434730,cleaned
435664,cleaned
436581,cleaned
437507,cleaned
438409,cleaned
439392,cleaned
440303,cleaned
441205,cleaned
442128,cleaned
442998,cleaned
443860,cleaned
444784,cleaned
445682,cleaned
446566,cleaned
447509,cleaned
448403,cleaned
449330,cleaned
450287,cleaned
451178,cleaned
452090,cleaned
453022,cleaned
453910,cleaned
454788,cleaned
455610,cleaned
456485,cleaned
457356,cleaned
458194,cleaned
459081,cleaned
459979,cleaned
460912,cleaned
461801,cleaned
462744,cleaned
463724,cleaned
464665,cleaned
465582,cleaned
466521,cleaned
467420,cleaned
468364,cleaned
469238,cleaned
470169,cleaned
471097,cleaned
471948,cleaned
472835,cleaned
473709,cleaned
474647,cleaned
475539,cleaned
476487,cleaned
477401,cleaned
478272,cleaned
479160,cleaned
480063,cleaned
480885,cleaned
481719,cleaned
482587,cleaned
483431,cleaned
484259,cleaned
485188,cleaned
486013,cleaned
486923,cleaned
487874,cleaned
488795,cleaned
489734,cleaned
490677,cleaned
491611,cleaned
492524,cleaned
493400,cleaned
494306,cleaned
495235,cleaned
496089,cleaned
497028,cleaned
497899,cleaned
498798,cleaned
499699,cleaned
500595,cleaned
501487,cleaned
502386,cleaned
503263,cleaned
504198,cleaned
505075,cleaned
505979,cleaned
506950,cleaned
507841,cleaned
508715,cleaned
509628,cleaned
510585,cleaned
511487,cleaned
512493,cleaned
513395,cleaned
514281,cleaned
515176,cleaned
516140,cleaned
517040,cleaned
517985,cleaned
518886,cleaned
519852,cleaned
520792,cleaned
521689,cleaned
522612,cleaned
523507,cleaned
524426,cleaned
525358,cleaned
526260,cleaned
527131,cleaned
528029,cleaned
528918,cleaned
529832,cleaned
530703,cleaned
531650,cleaned
532551,cleaned
533474,cleaned
534405,cleaned
